order_id,customer_id,order_date,order_value,category,city
O00205,C0141,2025-03-27,578.51,Beverages,Hyderabad
O00206,C0142,2025-02-06,566.66,Bakery,Bangalore
O00207,C0143,2024-12-18,299.32,Beverages,Hyderabad
O00208,C0144,2024-12-20,462.67,Staples,Hyderabad
O00209,C0145,2025-03-21,455.88,Bakery,Hyderabad
O00210,C0146,2025-02-18,568.35,Packaged Grocery,Bangalore
O00211,C0147,2025-01-23,350.55,Fruits & Vegetables,Hyderabad
O00212,C0148,2025-01-30,581.14,Packaged Grocery,Hyderabad
O00213,C0149,2025-04-06,449.99,Staples,Bangalore
O00214,C0150,2025-03-09,320.01,Packaged Grocery,Hyderabad
O00215,C0150,2025-04-04,706.95,Bakery,Hyderabad
O00216,C0151,2025-01-31,215.58,Fruits & Vegetables,Bangalore
O00217,C0152,2025-01-15,378.43,Beverages,Hyderabad
O00218,C0153,2025-01-09,493.17,Dairy & Eggs,Bangalore
O00219,C0154,2025-04-09,212.02,Fruits & Vegetables,Bangalore
O00220,C0155,2025-03-15,441.99,Packaged Grocery,Bangalore
O00221,C0156,2025-04-15,507.72,Fruits & Vegetables,Bangalore
O00222,C0157,2025-01-06,315.76,Bakery,Bangalore
O00223,C0157,2025-02-10,542.76,Dairy & Eggs,Bangalore
O00224,C0158,2025-03-06,184.2,Bakery,Bangalore
O00225,C0159,2025-01-19,417.93,Fruits & Vegetables,Bangalore
O00226,C0159,2025-02-13,389.59,Fruits & Vegetables,Bangalore
O00227,C0159,2025-03-06,293.68,Beverages,Bangalore
O00228,C0160,2025-01-31,539.62,Staples,Bangalore
O00229,C0160,2025-03-01,301.37,Packaged Grocery,Bangalore
O00230,C0161,2025-02-14,571.58,Staples,Hyderabad
O00231,C0161,2025-01-17,528.94,Beverages,Hyderabad
O00232,C0162,2025-01-04,445.91,Bakery,Bangalore
O00233,C0163,2025-01-24,316.96,Packaged Grocery,Hyderabad
O00234,C0164,2025-01-11,294.5,Fruits & Vegetables,Hyderabad
O00235,C0165,2025-02-13,532.11,Fruits & Vegetables,Bangalore
O00236,C0165,2025-02-09,568.44,Staples,Bangalore
O00237,C0165,2025-04-10,378.51,Bakery,Bangalore
O00238,C0166,2025-03-23,374.51,Beverages,Hyderabad
O00239,C0166,2025-03-20,326.04,Dairy & Eggs,Hyderabad
O00240,C0167,2025-03-17,483.93,Beverages,Bangalore
O00241,C0167,2025-02-26,328.76,Fruits & Vegetables,Bangalore
O00242,C0168,2025-01-04,545.64,Beverages,Hyderabad
O00243,C0169,2025-04-18,322.73,Dairy & Eggs,Bangalore
O00244,C0169,2025-03-18,389.79,Packaged Grocery,Bangalore
O00245,C0169,2025-03-08,321.35,Fruits & Vegetables,Bangalore
O00246,C0170,2025-01-21,370.84,Staples,Bangalore
O00247,C0171,2025-02-17,336.5,Packaged Grocery,Bangalore
O00248,C0172,2025-01-25,518.4,Fruits & Vegetables,Bangalore
O00249,C0173,2025-03-24,559.06,Bakery,Bangalore
O00250,C0173,2025-02-02,274.32,Bakery,Bangalore
O00251,C0174,2025-03-30,387.25,Staples,Hyderabad
O00252,C0174,2025-01-17,468.08,Beverages,Hyderabad
O00253,C0175,2025-01-31,388.26,Fruits & Vegetables,Hyderabad
O00254,C0176,2025-01-18,498.39,Packaged Grocery,Bangalore
O00255,C0177,2025-03-25,516.34,Dairy & Eggs,Hyderabad
O00256,C0177,2025-02-27,335.03,Beverages,Hyderabad
O00257,C0178,2024-12-28,413.58,Bakery,Hyderabad
O00258,C0179,2025-02-16,251.03,Bakery,Bangalore
O00259,C0180,2025-04-15,492.04,Beverages,Hyderabad
O00260,C0181,2025-04-07,367.66,Bakery,Hyderabad
O00261,C0182,2025-03-08,556.43,Dairy & Eggs,Hyderabad
O00262,C0183,2025-02-21,321.17,Dairy & Eggs,Hyderabad
O00263,C0184,2025-03-26,493.69,Dairy & Eggs,Hyderabad
O00264,C0185,2025-04-05,580.91,Bakery,Bangalore
O00265,C0185,2025-01-21,369.16,Beverages,Bangalore
O00266,C0186,2025-02-28,349.02,Staples,Hyderabad
O00267,C0186,2025-03-01,446.31,Bakery,Hyderabad
O00268,C0187,2025-04-04,391.84,Bakery,Hyderabad
O00269,C0188,2025-03-12,443.55,Fruits & Vegetables,Hyderabad
O00270,C0189,2025-01-31,608.59,Fruits & Vegetables,Hyderabad
O00271,C0190,2025-03-13,308.14,Fruits & Vegetables,Hyderabad
O00272,C0191,2025-01-18,569.25,Fruits & Vegetables,Hyderabad
O00273,C0192,2025-02-18,257.25,Packaged Grocery,Bangalore
O00274,C0192,2025-02-27,395.2,Packaged Grocery,Bangalore
O00275,C0193,2025-01-17,241.26,Staples,Hyderabad
O00276,C0194,2025-03-12,554.51,Packaged Grocery,Hyderabad
O00277,C0195,2025-03-10,506.8,Staples,Bangalore
O00278,C0195,2025-01-19,386.93,Staples,Bangalore
O00279,C0195,2024-12-19,366.31,Fruits & Vegetables,Bangalore
O00280,C0196,2025-01-30,568.7,Staples,Hyderabad
O00281,C0197,2025-03-14,294.47,Packaged Grocery,Bangalore
O00282,C0198,2025-03-26,591.52,Dairy & Eggs,Bangalore
O00283,C0199,2025-01-05,622.71,Beverages,Bangalore
O00284,C0200,2025-02-08,594.96,Bakery,Bangalore
O00285,C0201,2024-12-28,587.25,Dairy & Eggs,Bangalore
O00286,C0201,2025-01-08,305.9,Staples,Bangalore
O00287,C0202,2025-03-05,423.16,Dairy & Eggs,Bangalore
O00288,C0203,2024-12-20,478.57,Beverages,Bangalore
O00289,C0204,2025-01-11,311.71,Dairy & Eggs,Hyderabad
O00290,C0205,2025-01-04,420.0,Packaged Grocery,Bangalore
O00291,C0205,2025-02-14,591.81,Fruits & Vegetables,Bangalore
O00292,C0206,2024-12-21,455.68,Beverages,Bangalore
O00293,C0206,2025-03-28,445.66,Dairy & Eggs,Bangalore
O00294,C0207,2025-03-07,553.84,Dairy & Eggs,Hyderabad
O00295,C0208,2025-03-21,693.02,Staples,Hyderabad
O00296,C0209,2025-04-21,368.14,Staples,Hyderabad
O00297,C0210,2025-02-16,224.7,Fruits & Vegetables,Bangalore
O00298,C0210,2025-03-13,247.06,Dairy & Eggs,Bangalore
O00299,C0210,2024-12-29,588.12,Beverages,Bangalore
O00300,C0211,2025-03-21,408.14,Bakery,Hyderabad
O00301,C0211,2025-01-29,455.62,Beverages,Hyderabad
O00302,C0211,2025-02-21,630.89,Bakery,Hyderabad
O00303,C0212,2025-01-30,423.38,Bakery,Bangalore
O00304,C0212,2025-04-13,486.73,Beverages,Bangalore
O00305,C0213,2025-02-19,386.8,Packaged Grocery,Hyderabad
O00306,C0214,2025-02-02,362.34,Fruits & Vegetables,Bangalore
O00307,C0215,2025-03-17,452.06,Staples,Hyderabad
O00308,C0215,2025-04-16,392.03,Dairy & Eggs,Hyderabad
O00309,C0216,2025-04-02,564.99,Staples,Bangalore
O00310,C0217,2025-01-16,344.56,Dairy & Eggs,Bangalore
O00311,C0218,2025-04-11,410.32,Dairy & Eggs,Bangalore
O00312,C0219,2025-02-14,243.0,Bakery,Bangalore
O00313,C0220,2025-03-18,289.81,Staples,Hyderabad
O00314,C0220,2025-03-12,583.61,Packaged Grocery,Hyderabad
O00315,C0221,2024-12-22,466.8,Bakery,Bangalore
O00316,C0222,2025-03-10,423.36,Fruits & Vegetables,Hyderabad
O00317,C0223,2025-02-14,585.28,Packaged Grocery,Hyderabad
O00318,C0224,2025-02-22,505.09,Beverages,Hyderabad
O00319,C0224,2025-01-19,255.83,Packaged Grocery,Hyderabad
O00320,C0224,2025-02-22,502.2,Fruits & Vegetables,Hyderabad
O00321,C0225,2025-04-19,418.88,Staples,Hyderabad
O00322,C0225,2025-02-06,300.32,Staples,Hyderabad
O00323,C0226,2025-01-07,256.77,Fruits & Vegetables,Bangalore
O00324,C0226,2025-04-09,289.1,Fruits & Vegetables,Bangalore
O00325,C0227,2025-04-07,507.78,Beverages,Bangalore
O00326,C0228,2025-01-08,455.76,Fruits & Vegetables,Bangalore
O00327,C0229,2025-03-21,497.36,Fruits & Vegetables,Bangalore
O00328,C0230,2025-03-28,553.38,Packaged Grocery,Bangalore
O00329,C0230,2025-01-03,411.57,Beverages,Bangalore
O00330,C0231,2025-03-20,588.56,Bakery,Hyderabad
O00331,C0231,2025-03-23,583.63,Staples,Hyderabad
O00332,C0232,2025-01-24,150,Packaged Grocery,Hyderabad
O00333,C0232,2025-01-19,557.69,Packaged Grocery,Hyderabad
O00334,C0233,2025-01-13,364.88,Dairy & Eggs,Bangalore
O00335,C0233,2025-01-13,485.38,Dairy & Eggs,Bangalore
O00336,C0234,2025-02-18,445.07,Beverages,Bangalore
O00337,C0234,2025-04-02,381.14,Packaged Grocery,Bangalore
O00338,C0234,2025-02-27,387.04,Staples,Bangalore
O00339,C0235,2025-04-02,485.47,Dairy & Eggs,Hyderabad
O00340,C0236,2025-02-28,480.38,Dairy & Eggs,Hyderabad
O00341,C0236,2024-12-22,492.4,Beverages,Hyderabad
O00342,C0237,2025-02-11,454.31,Fruits & Vegetables,Bangalore
O00343,C0238,2025-04-04,336.84,Packaged Grocery,Bangalore
O00344,C0239,2025-03-27,319.64,Dairy & Eggs,Hyderabad
O00345,C0239,2025-01-31,306.08,Packaged Grocery,Hyderabad
O00346,C0239,2025-02-02,281.31,Dairy & Eggs,Hyderabad
O00347,C0240,2025-01-08,508.91,Beverages,Bangalore
O00348,C0241,2025-04-22,615.37,Packaged Grocery,Bangalore
O00349,C0242,2025-01-27,329.51,Staples,Bangalore
O00350,C0243,2025-02-18,427.01,Bakery,Hyderabad
O00351,C0244,2025-01-29,540.1,Bakery,Hyderabad
O00352,C0244,2025-02-27,467.48,Dairy & Eggs,Hyderabad
O00353,C0244,2025-03-15,338.57,Staples,Hyderabad
O00354,C0245,2025-02-26,498.63,Beverages,Hyderabad
O00355,C0246,2025-02-22,514.16,Dairy & Eggs,Bangalore
O00356,C0246,2025-04-10,511.27,Fruits & Vegetables,Bangalore
O00357,C0247,2025-01-10,325.89,Packaged Grocery,Hyderabad
O00358,C0247,2024-12-26,328.21,Dairy & Eggs,Hyderabad
O00359,C0248,2025-02-11,522.04,Fruits & Vegetables,Hyderabad
O00360,C0249,2025-03-16,444.32,Fruits & Vegetables,Hyderabad
O00361,C0250,2024-12-19,518.77,Packaged Grocery,Hyderabad
O00362,C0250,2025-02-01,270.35,Fruits & Vegetables,Hyderabad
O00363,C0251,2025-01-11,490.13,Bakery,Bangalore
O00364,C0251,2025-03-03,457.33,Beverages,Bangalore
O00365,C0252,2025-03-07,547.25,Beverages,Bangalore
O00366,C0253,2025-03-26,457.37,Packaged Grocery,Hyderabad
O00367,C0253,2024-12-30,459.14,Packaged Grocery,Hyderabad
O00368,C0254,2025-04-08,555.88,Fruits & Vegetables,Hyderabad
O00369,C0255,2025-02-14,209.01,Dairy & Eggs,Bangalore
O00370,C0256,2025-01-29,376.07,Staples,Bangalore
O00371,C0256,2024-12-31,386.92,Beverages,Bangalore
O00372,C0257,2025-03-04,398.29,Packaged Grocery,Hyderabad
O00373,C0257,2025-01-15,423.45,Fruits & Vegetables,Hyderabad
O00374,C0258,2025-02-12,660.15,Bakery,Hyderabad
O00375,C0259,2025-03-13,216.79,Staples,Hyderabad
O00376,C0260,2025-01-01,437.92,Bakery,Bangalore
O00377,C0261,2025-04-02,576.27,Fruits & Vegetables,Bangalore
O00378,C0262,2025-03-02,480.5,Beverages,Hyderabad
O00379,C0263,2025-03-18,234.18,Beverages,Hyderabad
O00380,C0264,2025-02-25,435.81,Beverages,Hyderabad
O00381,C0265,2025-02-02,583.61,Bakery,Hyderabad
O00382,C0266,2025-01-12,519.37,Packaged Grocery,Bangalore
O00383,C0267,2025-02-06,319.37,Staples,Bangalore
O00384,C0268,2024-12-24,544.97,Bakery,Hyderabad
O00385,C0268,2025-01-03,303.69,Dairy & Eggs,Hyderabad
O00386,C0269,2025-01-19,659.53,Staples,Hyderabad
O00387,C0269,2025-03-19,549.79,Staples,Hyderabad
O00388,C0269,2025-02-18,470.51,Packaged Grocery,Hyderabad
O00389,C0270,2025-02-07,414.92,Fruits & Vegetables,Hyderabad
O00390,C0270,2025-01-31,331.4,Beverages,Hyderabad
O00391,C0270,2025-03-29,394.49,Bakery,Hyderabad
O00392,C0271,2025-04-02,392.66,Beverages,Hyderabad
O00393,C0272,2025-02-12,302.1,Packaged Grocery,Bangalore
O00394,C0273,2025-01-02,440.47,Dairy & Eggs,Hyderabad
O00395,C0274,2024-12-25,566.31,Fruits & Vegetables,Bangalore
O00396,C0275,2024-12-26,418.48,Packaged Grocery,Hyderabad
O00397,C0276,2025-02-07,199.9,Packaged Grocery,Bangalore
O00398,C0277,2025-02-04,150,Beverages,Hyderabad
O00399,C0278,2025-01-10,474.3,Bakery,Hyderabad
O00400,C0279,2025-04-23,402.17,Beverages,Hyderabad
O00401,C0280,2024-12-22,341.24,Bakery,Bangalore
O00402,C0281,2025-01-22,700.26,Bakery,Hyderabad
O00403,C0282,2025-03-27,322.84,Packaged Grocery,Hyderabad
O00404,C0282,2025-03-18,507.22,Packaged Grocery,Hyderabad
O00405,C0282,2025-02-14,416.91,Staples,Hyderabad
O00406,C0283,2025-04-15,353.67,Dairy & Eggs,Hyderabad
O00407,C0284,2024-12-16,567.95,Packaged Grocery,Hyderabad
O00408,C0285,2025-03-04,356.56,Dairy & Eggs,Bangalore
O00409,C0286,2025-01-10,535.79,Staples,Hyderabad
O00410,C0287,2025-01-16,423.2,Fruits & Vegetables,Hyderabad
O00411,C0288,2025-04-09,470.81,Beverages,Hyderabad
O00412,C0288,2024-12-24,390.91,Beverages,Hyderabad
O00413,C0288,2025-03-24,358.63,Packaged Grocery,Hyderabad
O00414,C0289,2025-01-22,374.59,Beverages,Hyderabad
O00415,C0290,2025-03-30,287.88,Fruits & Vegetables,Hyderabad
O00416,C0291,2025-01-18,511.1,Fruits & Vegetables,Hyderabad
O00417,C0292,2025-04-22,254.69,Beverages,Bangalore
O00418,C0293,2025-04-10,402.54,Dairy & Eggs,Bangalore
O00419,C0293,2025-01-06,493.55,Staples,Bangalore
O00420,C0294,2025-02-28,414.71,Fruits & Vegetables,Hyderabad
O00421,C0294,2025-01-20,658.33,Dairy & Eggs,Hyderabad
O00422,C0295,2025-02-15,370.98,Dairy & Eggs,Hyderabad
O00423,C0296,2025-02-20,350.42,Beverages,Bangalore
O00424,C0297,2025-02-23,365.25,Staples,Hyderabad
